Date,Price,Open,High,Low,Vol.,Change %
"Jul 14, 2017",26389.23,26416.68,26416.68,26295.99,1.80B,0.16
"Jul 13, 2017",26346.17,26340.29,26383.76,26255.31,2.03B,1.16
"Jul 12, 2017",26043.64,25991.35,26147.30,25991.35,2.78B,0.64
"Jul 11, 2017",25877.64,25605.19,25941.47,25596.21,2.30B,1.48
"Jul 10, 2017",25500.06,25392.03,25622.75,25331.95,1.80B,0.63
"Jul 07, 2017",25340.85,25377.21,25409.90,25315.91,1.53B,-0.49
"Jul 06, 2017",25465.22,25574.57,25599.70,25436.83,1.54B,-0.22
"Jul 05, 2017",25521.97,25354.38,25559.18,25199.86,1.93B,0.52
"Jul 04, 2017",25389.01,25782.85,25838.27,25251.72,2.48B,-1.53
"Jul 03, 2017",25784.17,25654.77,25821.39,25654.77,1.55B,0.08
"Jun 30, 2017",25764.58,25679.64,25816.25,25661.43,1.67B,-0.77
"Jun 29, 2017",25965.42,25872.93,25965.42,25814.80,1.80B,1.10
"Jun 28, 2017",25683.50,25735.21,25821.36,25625.71,1.70B,-0.61
"Jun 27, 2017",25839.99,25911.20,25929.61,25780.69,1.22B,-0.12
"Jun 26, 2017",25871.89,25727.93,25875.48,25720.38,1.24B,0.79
"Jun 23, 2017",25670.05,25724.28,25770.37,25648.77,1.34B,-0.02
"Jun 22, 2017",25674.53,25597.46,25867.94,25597.46,1.60B,-0.08
"Jun 21, 2017",25694.58,25752.27,25846.52,25575.98,1.75B,-0.57
"Jun 20, 2017",25843.04,26028.43,26043.10,25833.93,1.29B,-0.31
"Jun 19, 2017",25924.55,25736.20,25939.72,25735.07,1.15B,1.16
"Jun 16, 2017",25626.49,25601.81,25719.97,25557.80,1.75B,0.24
"Jun 15, 2017",25565.34,25772.28,25772.28,25565.34,1.71B,-1.20
"Jun 14, 2017",25875.90,25915.46,25915.46,25713.02,1.49B,0.09
"Jun 13, 2017",25852.10,25826.52,25883.22,25722.63,1.36B,0.56
"Jun 12, 2017",25708.04,25925.45,25957.78,25689.23,1.66B,-1.24
"Jun 09, 2017",26030.29,26090.33,26090.33,25922.68,2.98B,-0.13
"Jun 08, 2017",26063.06,25974.00,26069.98,25923.21,1.68B,0.34
"Jun 07, 2017",25974.16,26025.21,26073.44,25898.82,2.06B,-0.09
"Jun 06, 2017",25997.14,25819.53,26019.01,25805.02,1.59B,0.52
"Jun 05, 2017",25862.99,25976.36,25998.66,25801.84,1.82B,-0.24
"Jun 02, 2017",25924.05,25926.06,25973.00,25851.85,2.05B,0.44
"Jun 01, 2017",25809.22,25736.35,25834.75,25614.61,2.08B,0.58
"May 31, 2017",25660.65,25706.45,25817.95,25650.06,3.09B,-0.16
"May 29, 2017",25701.63,25672.40,25744.72,25579.15,1.11B,0.24
"May 26, 2017",25639.27,25670.98,25724.40,25588.70,1.50B,0.03
"May 25, 2017",25630.78,25511.46,25680.67,25491.78,1.95B,0.80
"May 24, 2017",25428.50,25382.26,25428.50,25296.66,1.45B,0.10
"May 23, 2017",25403.15,25415.57,25486.98,25307.27,1.81B,0.05
"May 22, 2017",25391.34,25318.29,25450.04,25201.34,1.45B,0.86
"May 19, 2017",25174.87,25171.66,25266.22,25124.06,1.35B,0.15
"May 18, 2017",25136.52,25034.19,25263.81,25025.05,1.73B,-0.62
"May 17, 2017",25293.63,25355.76,25374.95,25245.44,1.56B,-0.17
"May 16, 2017",25335.94,25413.35,25413.35,25228.46,1.85B,-0.14
"May 15, 2017",25371.59,25233.31,25385.72,25213.47,2.28B,0.86
"May 12, 2017",25156.34,25126.48,25211.28,25087.32,1.46B,0.12
"May 11, 2017",25125.55,25101.53,25203.54,25024.76,1.69B,0.44
